301,Tennessee State
302,Tennessee Tech
303,Tennessee
304,Texas A&amp;M-Corpus Christi
305,Texas A&amp;M
306,Texas-Arlington
307,Texas Christian
308,Texas-El Paso
309,Texas-Rio Grande Valley
310,Texas-San Antonio
311,Texas Southern
312,Texas State
313,Texas Tech
314,Texas
315,Toledo
316,Towson
317,Troy
318,Tulane
319,Tulsa
320,UCLA
,
Rk,School
321,Utah State
322,Utah Valley
323,Utah
324,Valparaiso
325,Vanderbilt
326,Vermont
327,Villanova
328,Virginia Commonwealth
329,VMI
330,Virginia Tech
331,Virginia
332,Wagner
333,Wake Forest
334,Washington State
335,Washington
336,Weber State
337,West Virginia
338,Western Carolina
339,Western Illinois
340,Western Kentucky
,
Rk,School
341,Western Michigan
342,Wichita State
343,William &amp; Mary
344,Winthrop
345,Wisconsin
346,Wofford
347,Wright State
348,Wyoming
349,Xavier
350,Yale
351,Youngstown State
